Date,rain
2020/7/11 0:01,0
2020/7/11 0:06,0
2020/7/11 0:11,0
2020/7/11 0:16,0
2020/7/11 0:21,0
2020/7/11 0:26,0
2020/7/11 0:31,0
2020/7/11 0:36,0
2020/7/11 0:41,0
2020/7/11 0:46,0
2020/7/11 0:51,0
2020/7/11 0:56,0
2020/7/11 1:01,0
2020/7/11 1:06,0
2020/7/11 1:11,0
2020/7/11 1:16,0
2020/7/11 1:21,0
2020/7/11 1:26,0
2020/7/11 1:31,0
2020/7/11 1:36,0
2020/7/11 1:41,0
2020/7/11 1:46,0
2020/7/11 1:52,0
2020/7/11 1:56,0
2020/7/11 2:01,0
2020/7/11 2:06,0
2020/7/11 2:12,0
2020/7/11 2:16,0
2020/7/11 2:21,0
2020/7/11 2:26,0
2020/7/11 2:31,0
2020/7/11 2:36,0
2020/7/11 2:41,0
2020/7/11 2:46,0
2020/7/11 2:51,0
2020/7/11 2:56,0
2020/7/11 3:01,0
2020/7/11 3:06,0
2020/7/11 3:11,0
2020/7/11 3:16,0
2020/7/11 3:21,0
2020/7/11 3:26,0
2020/7/11 3:31,0
2020/7/11 3:36,0
2020/7/11 3:41,0
2020/7/11 3:46,0
2020/7/11 3:51,0
2020/7/11 3:56,0
2020/7/11 4:01,0
2020/7/11 4:06,0
2020/7/11 4:11,0
2020/7/11 4:16,0
2020/7/11 4:21,0
2020/7/11 4:26,0
2020/7/11 4:31,0
2020/7/11 4:36,0
2020/7/11 4:42,0
2020/7/11 4:46,0
2020/7/11 4:51,0
2020/7/11 4:56,0
2020/7/11 5:01,0
2020/7/11 5:06,0
2020/7/11 5:11,0
2020/7/11 5:16,0
2020/7/11 5:21,0
2020/7/11 5:26,0
2020/7/11 5:31,0
2020/7/11 5:36,0
2020/7/11 5:41,0.2
2020/7/11 5:46,0
2020/7/11 5:51,0
2020/7/11 5:56,0
2020/7/11 6:01,0
2020/7/11 6:06,0
2020/7/11 6:11,0
2020/7/11 6:16,0.2
2020/7/11 6:21,0
2020/7/11 6:26,0
2020/7/11 6:31,0
2020/7/11 6:36,0
2020/7/11 6:41,0.2
