Date,rain
2020/7/30 0:02,0
2020/7/30 0:06,0
2020/7/30 0:11,0
2020/7/30 0:16,0
2020/7/30 0:21,0
2020/7/30 0:26,0
2020/7/30 0:31,0
2020/7/30 0:36,0
2020/7/30 0:41,0
2020/7/30 0:46,0
2020/7/30 0:51,0
2020/7/30 0:56,0
2020/7/30 1:01,0
2020/7/30 1:06,0
2020/7/30 1:11,0
2020/7/30 1:16,0
2020/7/30 1:21,0
2020/7/30 1:26,0
2020/7/30 1:31,0
2020/7/30 1:37,0
2020/7/30 1:41,0
2020/7/30 1:46,0
2020/7/30 1:51,0
2020/7/30 1:56,0
2020/7/30 2:01,0
2020/7/30 2:06,0
2020/7/30 2:11,0
2020/7/30 2:16,0
2020/7/30 2:21,0
2020/7/30 2:26,0
2020/7/30 2:32,0
2020/7/30 2:37,0
2020/7/30 2:42,0
2020/7/30 2:46,0
2020/7/30 2:51,0
2020/7/30 2:56,0
2020/7/30 3:01,0
2020/7/30 3:06,0
2020/7/30 3:11,0
2020/7/30 3:16,0
2020/7/30 3:21,0
2020/7/30 3:26,0
2020/7/30 3:32,0
2020/7/30 3:36,0
2020/7/30 3:41,0
2020/7/30 3:46,0
2020/7/30 3:51,0
2020/7/30 3:56,0
2020/7/30 4:01,0
2020/7/30 4:06,0
2020/7/30 4:11,0
2020/7/30 4:16,0
2020/7/30 4:21,0
2020/7/30 4:26,0
2020/7/30 4:31,0
2020/7/30 4:36,0
2020/7/30 4:41,0
2020/7/30 4:46,0
2020/7/30 4:52,0
2020/7/30 4:56,0
2020/7/30 5:01,0
2020/7/30 5:06,0
2020/7/30 5:11,0
2020/7/30 5:16,0
2020/7/30 5:21,0
2020/7/30 5:26,0
2020/7/30 5:32,0
2020/7/30 5:36,0
2020/7/30 5:42,0
2020/7/30 5:46,0
2020/7/30 5:51,0
2020/7/30 5:56,0
2020/7/30 6:01,0
2020/7/30 6:06,0
2020/7/30 6:11,0
2020/7/30 6:16,0
2020/7/30 6:21,0
2020/7/30 6:27,0
2020/7/30 6:31,0
2020/7/30 6:36,0
2020/7/30 6:41,0
2020/7/30 6:46,0
2020/7/30 6:51,0
2020/7/30 6:56,0
2020/7/30 7:01,0
2020/7/30 7:06,0
2020/7/30 7:11,0
2020/7/30 7:16,0
2020/7/30 7:21,0
2020/7/30 7:26,0
2020/7/30 7:31,0
2020/7/30 7:36,0
2020/7/30 7:41,0
2020/7/30 7:46,0
2020/7/30 7:51,0
2020/7/30 7:56,0
2020/7/30 8:01,0
2020/7/30 8:11,0
2020/7/30 8:17,0
2020/7/30 8:21,0
2020/7/30 8:26,0
2020/7/30 8:31,0
2020/7/30 8:36,0
2020/7/30 8:41,0
2020/7/30 8:46,0
2020/7/30 8:51,0
2020/7/30 8:56,0
2020/7/30 9:01,0
2020/7/30 9:06,0
2020/7/30 9:11,0
2020/7/30 9:16,0
2020/7/30 9:26,0
2020/7/30 9:31,0
2020/7/30 9:36,0
2020/7/30 9:42,0
2020/7/30 9:46,0
2020/7/30 9:51,0
2020/7/30 9:56,0
2020/7/30 10:01,0
2020/7/30 10:11,0
2020/7/30 10:16,0
2020/7/30 10:21,0
2020/7/30 10:26,0
2020/7/30 10:31,0
2020/7/30 10:36,0
2020/7/30 10:41,0
2020/7/30 10:46,0
2020/7/30 10:51,0
2020/7/30 10:56,0
2020/7/30 11:01,0
2020/7/30 11:06,0
2020/7/30 11:11,0
2020/7/30 11:17,0
2020/7/30 11:21,0
2020/7/30 11:31,0
2020/7/30 11:36,0
2020/7/30 11:41,0
2020/7/30 11:52,0
2020/7/30 11:56,0
2020/7/30 12:01,0
2020/7/30 12:06,0
2020/7/30 12:11,0
2020/7/30 12:17,0
2020/7/30 12:21,0
2020/7/30 12:26,0
2020/7/30 12:31,0
2020/7/30 12:36,0
2020/7/30 12:41,0
2020/7/30 12:46,0
2020/7/30 12:52,0
2020/7/30 12:56,0
2020/7/30 13:01,0
2020/7/30 13:06,0
2020/7/30 13:12,0
2020/7/30 13:16,0
2020/7/30 13:22,0
2020/7/30 13:26,0
2020/7/30 13:31,0
2020/7/30 13:36,0
2020/7/30 13:41,0
2020/7/30 13:47,0
2020/7/30 13:52,0
2020/7/30 13:56,0
2020/7/30 14:02,0
2020/7/30 14:06,0
2020/7/30 14:11,0
2020/7/30 14:16,0
2020/7/30 14:21,0
2020/7/30 14:26,0
2020/7/30 14:31,0
2020/7/30 14:36,0
2020/7/30 14:41,0
2020/7/30 14:46,0
2020/7/30 14:51,0
2020/7/30 14:56,0
2020/7/30 15:01,0
2020/7/30 15:06,0
2020/7/30 15:11,0
2020/7/30 15:17,0
2020/7/30 15:21,0
2020/7/30 15:26,0
2020/7/30 15:31,0
2020/7/30 15:36,0
2020/7/30 15:41,0
2020/7/30 15:46,0
2020/7/30 15:51,0
2020/7/30 15:57,0
2020/7/30 16:01,0
2020/7/30 16:07,0
2020/7/30 16:11,0
2020/7/30 16:16,0
2020/7/30 16:21,0
2020/7/30 16:26,0
2020/7/30 16:31,0
2020/7/30 16:36,0
2020/7/30 16:41,0
2020/7/30 16:46,0
2020/7/30 16:51,0
2020/7/30 16:57,0
2020/7/30 17:01,0
2020/7/30 17:07,0
2020/7/30 17:11,0
2020/7/30 17:17,0
2020/7/30 17:21,0
2020/7/30 17:26,0
2020/7/30 17:32,0
2020/7/30 17:36,0
2020/7/30 17:41,0
2020/7/30 17:46,0
2020/7/30 17:52,0
2020/7/30 17:56,0
2020/7/30 18:01,0
2020/7/30 18:06,0
2020/7/30 18:11,0
2020/7/30 18:16,0
2020/7/30 18:21,0
2020/7/30 18:26,0
2020/7/30 18:31,0
2020/7/30 18:36,0
2020/7/30 18:41,0
2020/7/30 18:46,0
2020/7/30 18:51,0
2020/7/30 18:57,0
2020/7/30 19:01,0
2020/7/30 19:07,0
2020/7/30 19:11,0
2020/7/30 19:16,0
2020/7/30 19:21,0
2020/7/30 19:26,0
2020/7/30 19:31,0
2020/7/30 19:36,0
2020/7/30 19:41,0
2020/7/30 19:46,0
